View Name	View Description	View Version	Status Date
IHE QRPH Birth & Fetal Death Reporting - Enhanced (BFDR-E)	Value sets for vital records birth and fetal death reporting (US realm) based upon Integrating the Healthcare Enterprise (IHE) Quality, Research and Public Health (QRPH) Birth and Fetal Death Reporting - Enhanced  (BFDR-E).	4	09/21/2015 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Cleft Palate Alone (NCHS)	PHVS_CleftPalateAlone_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.189	1	To reflect Cleft Palate Alone as an anomality of the newborn	Published	03/24/2014	Initial Import for : 07F3CEF3-62B3-E311-8837-0017A477041A
Conception Date (NCHS)	PHVS_ConceptionDate_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.180	1	To Reflect Conception Date	Published	06/28/2013	IHE MCH - Version 1.0
Congenital Diaphragmatic Hernia (NCHS)	PHVS_CongenitalDiaphragmaticHernia_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.55	2	To Reflect Congenital Diaphragmatic Hernia  as an anomality of the newborn	Published	10/29/2014	Initial Import for : 784EBA7C-04C8-DF11-AB08-0015173D1785
Cyanotic Congenital Heart Disease (NCHS)	PHVS_CyanoticCongenitalHeartDisease_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.54	2	To Reflect Cyanotic Congenital Heart Disease as an anomality of the newborn	Published	10/29/2014	Initial Import for : 0E058E20-04C8-DF11-AB08-0015173D1785
Cytomegalovirus (NCHS)	PHVS_Cytomegalovirus_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.167	5	To Reflect infection with Cytomegalovirus	Published	09/22/2014	Initial Import for : 37E9ED28-13C5-DF11-AB08-0015173D1785
Date of Last Live Birth (NCHS)	PHVS_DateOfLastLiveBirth_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.67	1	To reflect the question as to the date of last live birth	Published	09/24/2014	v1
Date of Last Menses (NCHS)	PHVS_DateofLastMenses_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.69	2	To Reflect the question as to the Date of Last Menses	Published	09/24/2014	Initial Import for : 7576DC15-6AEC-DF11-A040-00188B39829B
Date of Last Other Pregnancy Outcome (NCHS)	PHVS_DateOfLastOtherPregnancyOutcome_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.70	1	To Reflect the question as to the date of last other pregnancy outcome	Published	09/24/2014	v1
Delivery (NCHS)	PHVS_Delivery_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.14	2	To Reflect the Delivery Procedure	Published	06/28/2013	updated based on clinician's feedback
Doctor of Osteopathic Medicine (NCHS)	PHVS_DoctorOfOsteopathicMedicine_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.16	1	To Reflect the Title of the Attendant responsible for the delivery Procedure as a Doctor of Osteopathic Medicine	Published	06/28/2013	Version 1.0
Down Syndrome (NCHS)	PHVS_DownSyndrome_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.61	2	To reflect Down Syndrome as an anomaly of the newborn	Published	09/22/2014	Initial Import for : B492B454-07C8-DF11-AB08-0015173D1785
Eclampsia (NCHS)	PHVS_Eclampsia_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.140	2	To Reflect Risk Factors of Eclampsia	Published	09/22/2014	Initial Import for : 8D65CE6E-2FC5-DF11-AB08-0015173D1785
Epidural Anesthesia - Medication (NCHS)	PHVS_EpiduralAnesthesiaMedication_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.26	2	To Reflect an Epidural Anesthesia Medication	Published	10/30/2014	Initial Import for : 3F2CFF91-9CB2-E311-8837-0017A477041A
Epidural Anesthesia - Procedure (NCHS)	PHVS_EpiduralAnesthesia_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.27	2	To Reflect an Epidural Anesthesia Procedure	Published	10/09/2014	Initial Import for : 6AA8CA77-36D0-DF11-AB08-0015173D1785
External Cephalic Version (NCHS)	PHVS_ExternalCephalicVersion_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.127	2	To Reflect Obstetric Procedures as External Cephalic Version	Published	09/22/2014	Initial Import for : 249D7687-81EC-DF11-A040-00188B39829B
Facility Location ICU (NCHS)	PHVS_FacilityLocationICU_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.2	1	To Reflect that the patient (mother)  was treated in the ICU reflecting an maternal morbidity.	Published	06/28/2013	Version 1.0
Facility Location NICU (NCHS)	PHVS_FacilityLocationNICU_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.1	1	To Reflect that the newborn was treated in the NICU reflecting an abnormal condition of the newborn.	Published	06/28/2013	Version 1.0
Facility Location OR (NCHS)	PHVS_FacilityLocationOR_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.104	1	To Reflect that the patient (mother)  was treated in the OR reflecting unplanned operation.	Published	06/28/2013	Version 1.0
Female Gender (NCHS)	PHVS_FemaleGender_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.43	1	To reflect the sex of the deceased as female
	Published	09/17/2015	IHE MCH - Version 1.0
Fetal Autopsy (NCHS)	PHVS_FetalAutopsy_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.153	1	To Reflect Fetal Autopsy  was performed	Published	06/28/2013	IHE MCH - Version 1.0
Fetal Death Time Points (NCHS)	PHVS_FetalDeathTimePoints_NCHS	2.16.840.1.114222.4.11.7112	1	The value set contains a list of items to indicate when the fetus died with respect to labor and assessment.	Published	09/08/2014	Initial Import for : A1B865C2-6037-E411-8D91-0017A477041A
Fetal Intolerance of Labor (NCHS)	Fetal Intolerance of Labor (NCHS)	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.30	1	To Reflect that there was a Fetal Intolerance of Labor Further Fetal Assessment including in-utero resuscitation, further fetal assessment,  and operative delivery	Published	03/22/2014	Initial Import for : FDD8F390-C4B1-E311-8837-0017A477041A
Fetal Presentation at Birth- Breech (NCHS)	PHVS_FetalPresentationAtBirthBreech_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.108	2	To Reflect the Fetal Presentation at Birth- Breech method of delivery	Published	10/29/2014	Initial Import for : BAF06BD1-F000-E011-9273-00188B39829B
Fetal Presentation at Birth- Cephalic (NCHS)	PHVS_FetalPresentationAtBirthCephalic_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.109	2	To Reflect the Fetal Presentation at Birth- Cephalic method of delivery	Published	11/03/2014	Initial Import for : 52528781-BAC6-DF11-AB08-0015173D1785
Fetal Presentation at Birth- Other (NCHS)	PHVS_FetalPresentationAtBirth- Other (NCHS)	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.110	1	To Reflect the Fetal Presentation at Birth excluding cephalic and breech presentations	Published	03/24/2014	Initial Import for : CA9EB5C0-50B3-E311-8837-0017A477041A
Fetal Presentation at Birth- Unknown (NCHS)	PHVS_FetalPresentationAtBirthUnknown_NCHS	2.16.840.1.114222.4.11.7154	1		Published	09/29/2014	v1
Fever Greater Than 100.4 (NCHS)	PHVS_FeverGreaterThan100.4_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.25	1	To Reflect a Fever Greater Than 100.4  During Labor	Published	06/28/2013	IHE MCH - Version 1.0
First Prenatal Care Visit (NCHS)	PHVS_FirstPrenatalCareVisit_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.133	2	To Reflect the question as to the First Prenatal Care Visit	Published	09/24/2014	v2
Fourth Degree Perineal Laceration (NCHS)	PHVS_FourthDegreePerinealLaceration_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.101	2	To reflect Fourth Degree Perineal Laceration as a maternal morbidity	Published	10/29/2014	Initial Import for : 7AC157A2-0DC8-DF11-AB08-0015173D1785
Further Fetal Assessment (NCHS)	PHVS_FurtherFetalAssessment_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.32	1	To Reflect that there was a Fetal Intolerance of Labor Further Fetal Assessment including scalp pH, scalp stimulation, acoustic stimulation	Published	06/28/2013	IHE MCH - Version 1.0
Gastroschisis of the Newborn (NCHS)	PHVS_Gastroschisis_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.62	1	To reflect Gastroschisis of the Newborn  as an anomality of the newborn	Published	06/28/2013	IHE MCH - Version 1.0
Gestational Diabetes (NCHS)	PHVS_GestationalDiabetes_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.137	1	To Reflect Risk Factors of Gestational Diabetes	Published	07/15/2013	Initial Import for : E85D7807-CEEE-DF11-9273-00188B39829B
Gestational Hypertension (NCHS)	PHVS_GestationalHypertension_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.139	2	To Reflect Risk Factors of Gestational Hypertension	Published	09/22/2014	Initial Import for : 0402619E-3BC3-DF11-AB08-0015173D1785
Gonorrhea (NCHS)	PHVS_Gonorrhea_NCHS	2.16.840.1.114222.4.11.6071	2	To reflect Gonorrhea as Infections present and treated during this pregnancy	Published	09/26/2014	Initial Import for : 38E63A65-2560-E211-9A66-001A4BE7FA90
Group B Streptococcus (NCHS)	PHVS_StreptococcusGroupB_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.166	4	To Reflect Infection with Group B Streptococcus	Published	09/22/2014	Initial Import for : 42F62CA4-14C5-DF11-AB08-0015173D1785
Height (NCHS)	PHVS_Height_NCHS	2.16.840.1.114222.4.11.7155	1	To Reflect the question as to the mothers height	Published	09/29/2014	Initial Import for : 3A1645A6-1348-E411-BB47-0017A477041A
Hepatitis B (NCHS)	PHVS_HepatitisB_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.96	3	To reflect Hepatitis B as Infections present and treated during this pregnancy	Published	09/29/2014	Initial Import for : 025B833A-0AC8-DF11-AB08-0015173D1785
Hepatitis C (NCHS)	PHVS_HepatitisC_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.97	3	To reflect Hepatitis C as Infections present and treated during this pregnancy	Published	09/22/2014	Initial Import for : C4448513-0BC8-DF11-AB08-0015173D1785
Histological Placental Examination (NCHS)	PHVS_HistologicalPlacentalExamination_NCHS	2.16.840.1.114222.4.11.7138	1	The value set contains the list of values used to indicate whether or not a histological placental examination was performed.	Published	06/28/2013	Initial Import for : 7F5BDE11-37A8-E211-A4E6-0017A477041A
Hypospadias (NCHS)	PHVS_Hypospadias_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.63	2	To reflect Hypospadias as an anomality of the newborn	Published	10/29/2014	Initial Import for : 2E77CF11-08C8-DF11-AB08-0015173D1785
Hysterotomy Hysterectomy (NCHS)	PHVS_HysterotomyHysterectomy_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.150	2	To reflect hysterotomy/histerectomy as the method of delivery in fetal death	Published	06/28/2013	updated based on feedback from clinicians
ICU Care (NCHS)	PHVS_ICUCare_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.188	2	To reflect that the patient was in ICU care reflecting a maternal morbidity	Published	10/29/2014	Initial Import for : A8055D52-5CB3-E311-8837-0017A477041A
IM Medication Administration Route (NCHS)	PHVS_MedicationAdministrationRouteIM_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.5	1	To Reflect that Intramuscular Medication Administration Route was used to administer a medication.	Published	06/28/2013	Version 1.0
In-utero Resuscitation (NCHS)	PHVS_InUteroResuscitation_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.31	1	To Reflect that there was a Fetal Intolerance of Labor requiring In-utero Resuscitation measures including maternal position change, oxygen administration to the mother, intravenous fluid administered to the mother, amnioinfusion, support of maternal blood pressure, and administration of uterine relaxing agents	Published	06/28/2013	Initial Import for : 4D2A7906-35D0-DF11-AB08-0015173D1785
Induction of Labor (NCHS)	PHVS_InductionOfLabor_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.34	2	To Reflect that there was an Induction of Labor	Published	03/12/2015	Initial Import for : 6BA73578-94CE-DF11-AB08-0015173D1785
Infertility Treatment (NCHS)	PHVS_InfertilityTreatment_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.143	3	To Reflect Risk Factors of Pregnancy Infertility Treatment	Published	09/22/2014	Initial Import for : 9E72EDCA-30C5-DF11-AB08-0015173D1785
Karyotype Confirmed (NCHS)	PHVS_KaryotypeConfirmed_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.56	1	To Reflect Karyotype Confirmed in an abnomality of the newborn	Published	06/28/2013	IHE MCH - Version 1.0
Karyotype Determination (NCHS)	PHVS_KaryotypeDetermination_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.154	1	To Reflect Fetal Autopsy  was performed	Published	06/28/2013	IHE MCH - Version 1.0
Karyotype Result (NCHS)	PHVS_KaryotypeResult_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.59	2	To Reflect the question as to the Karyotyping to determine that the result is pending.	Published	09/24/2014	Initial Import for : 0443089C-2DED-DF11-A040-00188B39829B
Limb Reduction Defect (NCHS)	PHVS_LimbReduction_NCHS	6.1.4.1.19376.1.7.3.1.1.13.8.64	2	To reflect Limb Reduction Defect as an anomality of the newborn	Published	10/29/2014	Initial Import for : 7E3E0079-08C8-DF11-AB08-0015173D1785
Listeria (NCHS)	PHVS_Listeria_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.147	1		Published	12/15/2014	Initial Import for : 1953E16E-8984-E411-8338-0017A477041A
Male Gender (NCHS)	PHVS_MaleGender_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.42	1	To reflect the sex of the deceased as male
	Published	09/17/2015	IHE MCH - Version 1.0
Meconium Staining (NCHS)	PHVS_MeconiumStaining_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.36	1	To Reflect that there was moderate or heavy Meconium staining	Published	06/28/2013	IHE MCH - Version 1.0
Meningomyelocele/Spina Bifida - Newborn (NCHS)	PHVS_MeningomyeloceleSpinaBifidaNewborn_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.65	2	To reflect Meningomyelocele/Spina Bifida of the Newborn as an anomality of the newborn	Published	10/29/2014	Initial Import for : DC9F9864-2ED0-DF11-AB08-0015173D1785
Midwife (NCHS)	PHVS_Midwife_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.18	2	To Reflect the Title of the Attendant responsible for the delivery Procedure as a Midwife excluding registered midwife which is reflected in the certified midwife value set.	Published	03/12/2015	Initial Import for : 930BD1EE-C2C0-DF11-AB08-0015173D1785
Mothers Delivery Weight (NCHS)	PHVS_MothersDeliveryWeight_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.120	2	To Reflect the question as to the Mother's Delivery Weight	Published	09/24/2014	v2
Neonatal Death (NCHS)	PHVS_NeonatalDeath_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.149	1	To Reflect that the newborn died	Published	06/28/2013	Version 1.0
Neonatal Sepsis (NCHS)	PHVS_NeonatalSepsis_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.6	2	To Reflect that the newborn was provided assisted ventilation immediately following delivery reflecting an abnormal condition of the newborn.	Published	10/29/2014	Initial Import for : FA92E31A-A9C0-DF11-AB08-0015173D1785
Newborn Given Surfactant Replacement (NCHS)	PHVS_NewbornGivenSurfactantReplacement_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.11	1	To Reflect that the newborn received surfactant replacement therapy	Published	11/03/2014	Initial Import for : E8F57B6A-9963-E411-A174-0017A477041A
NICU Care (NCHS)	PHVS_NICUCare_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.198	2	To Reflect that the newborn was provided NICU care reflecting an abnormal condition of the newborn.	Published	10/29/2014	v2
Number of Fetal Deaths This Delivery (NCHS)	PHVS_NumberOfFetalDeathsThisDelivery_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.164	2	To Reflect the question as to the Number of Fetal Deaths This Delivery	Published	09/24/2014	v2
Number of Live Births (NCHS)	PHVS_NumberofLiveBirths_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.68	2	To Reflect the question as to the Number of Live Births	Published	06/08/2015	v2
Number of Preterm Births (NCHS)	PHVS_NumberofPretermBirths_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.187	1	To reflect the question as to the number of preterm births	Published	09/24/2014	v1
Number of Previous Cesareans (NCHS)	PHVS_NumberOfPreviousCesareans_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.148	1	To reflect the question as to the number of previous cesareans	Published	09/25/2014	v1
Number of Previous Live Births Now Dead (NCHS)	PHVS_NoOfPreviousLiveBirthsNowDead_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.122	1	To Reflect the question as to the number of previous births now dead	Published	09/24/2014	v1
Number of Previous Live Births Now Living (NCHS)	PHVS_NoOfPreviousLiveBirthsNowLiving_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.123	2	To Reflect the question as to the number of previous live births now living	Published	09/24/2014	v2
Number of Prior Pregnancies (NCHS)	PHVS_NumberOfPriorPregnancies_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.71	2	To Reflect the question as to the Number of Prior Pregnancies	Published	09/24/2014	v2
Number Prenatal Care Visits (NCHS)	PHVS_NumberPrenatalCareVisits_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.135	1	To reflect the question as to the number of prenatal care visits	Published	09/25/2014	v1
Obstetric Estimate of Gestation (NCHS)	PHVS_ObstetricEstimateOfGestation_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.124	1	To reflect the question as to the obstetric estimate of gestation	Published	09/24/2014	Initial Import for : 870E112B-0044-E411-BB47-0017A477041A
Omphalocele of the Newborn (NCHS)	PHVS_OmphaloceleOfTheNewborn_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.66	1	To reflect Omphalocele of the Newborn as an anomality of the newborn	Published	06/28/2013	IHE MCH - Version 1.0
Operative Delivery (NCHS)	PHVS_OperativeDelivery_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.33	1	To Reflect that there was an Operative Delivery including operative intervention to shorten time to delivery of the fetus such as forceps, vacuum, or cesarean delivery	Published	06/28/2013	Initial Import for : DFF2BAB1-31D0-DF11-AB08-0015173D1785
Parvovirus (NCHS)	PHVS_Parvovirus_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.168	4	To Reflect infection with Parvovirus	Published	09/24/2014	v4
Physician (NCHS)	PHVS_Physician_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.15	2	To Reflect the Title of the Attendant responsible for the delivery Procedure as a Physician	Published	03/12/2015	Initial Import for : BA69BCE4-B3C0-DF11-AB08-0015173D1785
Poor Pregnancy Outcome History (NCHS)	PHVS_PoorPregnancyOutcomeHistory_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.142	3	To Reflect Risk Factors of Pregnancy Outcome of Perinatal Death - History	Published	09/22/2014	Initial Import for : 451D7F12-30C5-DF11-AB08-0015173D1785
Pre-Pregnancy Weight (NCHS)	PHVS_PrePregnancyWeight_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.118	2	To Reflect the question as to the mothers Pre-Pregnancy Weight	Published	09/24/2014	Initial Import for : 4409E17D-C8C0-DF11-AB08-0015173D1785
Precipitous Labor (NCHS)	PHVS_PrecipitousLabor_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.130	2	To Reflect Onset of labor with Precipitous Labor	Published	09/24/2014	Initial Import for : 5270A1A2-C5C6-DF11-AB08-0015173D1785
Premature Rupture (NCHS)	PHVS_PrematureRupture_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.129	2	To Reflect Onset of labor with Premature Rupture	Published	09/29/2014	Initial Import for : 56D72707-C5C6-DF11-AB08-0015173D1785
Prepregnancy Diabetes (NCHS)	PHVS_PrepregnancyDiabetes_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.136	3	To Reflect Risk Factors of Prepregnancy Diabetes	Published	09/24/2014	Initial Import for : 90870326-98C3-DF11-AB08-0015173D1785
Prepregnancy Hypertension (NCHS)	PHVS_PrepregnancyHypertension_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.138	2	To Reflect Risk Factors of Prepregnancy Hypertension	Published	09/22/2014	Initial Import for : E552EA86-91C3-DF11-AB08-0015173D1785
Preterm Birth (NCHS)	PHVS_PretermBirth_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.141	2	To Reflect Risk Factors of Preterm Birth (history)	Published	09/22/2014	Initial Import for : 76D4E318-C6C6-DF11-AB08-0015173D1785
Previous Cesarean (NCHS)	PHVS_PreviousCesarean_NCHS	2.16.840.1.114222.4.11.7165	1	Mother had a previous cesarean delivery. Previous delivery by extracting the fetus, placenta, and membranes through an incision in the mother’s abdominal and uterine walls.	Published	03/23/2014	Initial Import for : F48E96D2-94B2-E311-8837-0017A477041A
